MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Vilablareix	2.087	1.651	1.633	18	1.577	52	4						
Viladasens	165	157	156	1	147	4	5						
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Alella	7.084	4.178	4.152	26	3.818	240	94						
Arenys	de	Mar	11.47	5.707	5.656	51	5.381	210	65				
Arenys	de	Munt	6.483	4.136	4.116	20	3.93	147	39				
Argentona	9.18	5.174	5.13	44	4.811	241	78						
Cabrera	de	Mar	3.48	2.628	2.615	13	2.411	154	50				
Cabrils	5.122	3.005	2.996	9	2.828	111	57						
Caldes	d'Estrac	1.981	1.155	1.13	25	1.056	51	23					
Calella	12.547	5.975	5.963	12	5.632	257	74						
Canet	de	Mar	10.709	5.531	5.492	39	5.21	185	97				
Dosrius	3.883	1.639	1.639	0	1.528	111	0						
El	Masnou	17.547	9.837	9.772	65	8.891	642	239					
Malgrat	de	Mar	13.315	5.709	5.657	52	5.209	330	118				
Mataró	86.351	31.382	31.158	224	28.266	2.357	535						
Montgat	8.748	4.591	4.559	32	4.041	433	85						
Òrrius	538	474	472	2	464	5	3						
Palafolls	6.73	2.751	2.72	31	2.461	207	52						
Pineda	de	Mar	18.641	6.453	6.433	20	6.021	339	73				
Premià	de	Dalt	7.635	4.186	4.167	19	3.756	330	81				
Premià	de	Mar	20.326	9.135	9.075	60	8.229	646	200				
Sant	Andreu	de	Llavaneres	7.648	4.283	4.241	42	3.928	229	84			
Sant	Cebrià	de	Vallalta	2.39	-	-	-	-	-	-			
Sant	Iscle	de	Vallalta	944	1.246	1.242	4	1.194	30	18			
Sant	Pol	de	Mar	3.686	2.505	2.491	14	2.385	78	28			
Sant	Vicenç	de	Montalt	4.325	2.594	2.581	13	2.388	144	49			
Santa	Susanna	2.327	1.005	997	8	934	54	9					
Teià	4.802	3.04	3.018	22	2.837	144	37						
Tiana	6.578	3.374	3.363	11	3.151	159	53						
Tordera	12.097	4.779	4.746	33	4.409	295	42						
Vilassar	de	Dalt	6.873	4.371	4.346	25	4.046	230	70				
Vilassar	de	Mar	15.422	8.864	8.784	80	8.032	557	195				
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Calders	763	856	847	9	822	14	11						
Castellcir	519	548	545	3	528	13	4						
Castellterçol	1.847	558	545	13	512	24	9						
Collsuspina	266	333	333	0	320	9	4						
Granera	73	-	-	-	-	-	-						
L'Estany	343	1.053	1.051	2	1.014	26	11						
Moià	4.248	2.064	2.055	9	1.961	74	20						
Monistrol	de	Calders	563	570	566	4	538	25	3				
Sant	Quirze	Safaja	453	667	666	1	637	14	15				
Santa	Maria	d'Oló	830	679	679	0	662	11	6				
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Alcanar	6.281	4.447	4.43	17	4.194	169	67						
Amposta	14.251	10.334	10.291	43	9.672	510	109						
Freginals	281	239	238	1	210	22	6						
Godall	520	244	242	2	202	29	11						
La	Galera	557	281	277	4	255	18	4					
La	Sénia	3.963	1.637	1.621	16	1.422	166	33					
Mas	de	Barberans	463	205	205	0	176	17	12				
Masdenverge	846	433	432	1	404	26	2						
Sant	Carles	de	la	Ràpita	10.351	329	327	2	304	18	5		
Sant	Jaume	d'Enveja	2.743	1.432	1.424	8	1.334	61	29				
Santa	Bàrbara	2.672	1.331	1.323	8	1.204	111	8					
Ulldecona	3.946	1.919	1.907	12	1.772	107	28						
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Àger	482	313	312	1	296	9	7						
Albesa	1.124	838	837	1	788	32	17						
Algerri	357	284	270	14	244	14	12						
Alòs	de	Balaguer	104	140	140	0	138	2	0				
Artesa	de	Segre	2.326	1.567	1.561	6	1.499	40	22				
Balaguer	10.546	3.434	3.414	20	3.253	126	35						
Bellcaire	d'Urgell	1.014	743	741	2	720	16	5					
Bellmunt	d'Urgell	151	126	125	1	119	3	3					
Cabanabona	72	290	290	0	275	9	6						
Camarasa	750	458	458	0	441	10	7						
Castelló	de	Farfanya	451	364	361	3	340	14	7				
Cubells	299	211	207	4	189	8	10						
Foradada	137	112	109	3	106	3	0						
Ivars	de	Noguera	273	203	202	1	184	13	5				
La	Baronia	de	Rialb	208	158	157	1	142	11	4			
La	Sentiu	de	Sió	398	283	282	1	267	10	5			
Les	Avellanes	i	Santa	Linya	375	310	310	0	287	15	8		
Menàrguens	623	459	447	12	410	30	7						
Montgai	569	373	370	3	339	20	11						
Oliola	181	190	186	4	181	2	3						
Os	de	Balaguer	783	1.463	1.457	6	1.382	59	16				
Penelles	376	258	254	4	242	8	4						
Ponts	1.797	721	717	4	701	12	4						
Preixens	368	251	251	0	235	14	2						
Térmens	1.015	683	681	2	657	13	11						
Tiurana	66	87	87	0	85	2	0						
Torrelameu	486	430	430	0	416	7	7						
Vallfogona	de	Balaguer	1.383	1.37	1.353	17	1.287	49	17				
Vilanova	de	l'Aguda	182	149	146	3	136	9	1				
Vilanova	de	Meià	345	298	298	0	292	0	6				
													
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Alpens	223	292	292	0	279	10	3						
Balenyà	2.762	1.765	1.763	2	1.625	108	30						
Calldetenes	1.864	1.595	1.595	0	1.552	30	13						
Centelles	5.739	3.374	3.363	11	3.224	114	25						
El	Brull	188	335	335	0	328	3	4					
Espinelves	162	536	535	1	527	4	4						
Folgueroles	1.675	1.487	1.487	0	1.451	19	17						
Gurb	2.001	1.562	1.56	2	1.516	28	16						
Les	Masies	de	Roda	578	449	449	0	436	12	1			
Les	Masies	de	Voltregà	2.45	1.756	1.747	9	1.679	47	21			
L'Esquirol	1.739	1.625	1.62	5	1.583	15	22						
Lluçà	216	189	189	0	186	0	3						
Malla	218	466	466	0	450	6	10						
Manlleu	12.911	7.169	7.137	32	6.739	296	102						
Montesquiu	704	622	617	5	599	14	4						
Muntanyola	462	400	394	6	380	9	5						
Olost	993	807	804	3	780	14	10						
Orís	255	203	203	0	196	5	2						
Oristà	466	456	449	7	438	5	6						
Perafita	327	264	264	0	260	4	0						
Prats	de	Lluçanès	2.103	1.444	1.435	9	1.39	34	11				
Roda	de	Ter	4.551	2.954	2.949	5	2.823	91	35				
Rupit	i	Pruit	227	393	393	0	373	12	8				
Sant	Agustí	de	Lluçanès	82	202	202	0	185	10	7			
Sant	Bartomeu	del	Grau	663	477	477	0	451	19	7			
Sant	Boi	de	Lluçanès	442	396	396	0	379	7	10			
Sant	Hipòlit	de	Voltregà	2.588	1.694	1.694	0	1.646	34	14			
Sant	Julià	de	Vilatorta	2.356	1.877	1.872	5	1.83	26	16			
Sant	Martí	d'Albars	92	109	109	0	105	3	1				
Sant	Martí	de	Centelles	820	593	591	2	553	21	17			
Sant	Pere	de	Torelló	1.871	1.432	1.427	5	1.377	30	20			
Sant	Quirze	de	Besora	1.643	1.223	1.218	5	1.155	42	21			
Sant	Sadurní	d'Osormort	73	208	204	4	196	4	4				
Sant	Vicenç	de	Torelló	1.553	1.415	1.413	2	1.386	14	13			
Santa	Cecília	de	Voltregà	162	287	287	0	284	1	2			
Santa	Eugènia	de	Berga	1.665	1.235	1.235	0	1.203	25	7			
Santa	Eulàlia	de	Riuprimer	961	738	735	3	719	7	9			
Santa	Maria	de	Besora	131	159	159	0	154	2	3			
Seva	2.673	1.844	1.837	7	1.769	30	38						
Sobremunt	70	71	71	0	69	2	0						
Sora	151	277	277	0	269	5	3						
Taradell	4.779	3.523	3.519	4	3.433	63	23						
Tavèrnoles	247	527	524	3	506	13	5						
Tavertet	97	344	341	3	315	20	6						
Tona	5.963	4.013	3.964	49	3.756	166	42						
Torelló	10.224	6.213	6.181	32	5.953	165	63						
Vic	26.471	15.561	15.52	41	14.918	421	181						
Vidrà	141	190	190	0	181	6	3						
													
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Viladrau	796	809	808	1	770	29	9						
Vilanova	de	Sau	274	232	231	1	226	3	2				
													
													
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Abella	de	la	Conca	144	107	107	0	97	7	3			
Castell	de	Mur	148	181	180	1	172	4	4				
Conca	de	Dalt	360	251	248	3	232	8	8				
Gavet	de	la	Conca	253	163	163	0	160	0	3			
Isona	i	Conca	Dellà	824	550	549	1	524	18	7			
La	Pobla	de	Segur	2.185	1.245	1.232	13	1.182	33	17			
La	Torre	de	Cabdella	652	442	439	3	415	19	5			
Llimiana	136	92	92	0	88	2	2						
Salàs	de	Pallars	262	196	194	2	184	8	2				
Sant	Esteve	de	la	Sarga	113	96	94	2	86	4	4		
Sarroca	de	Bellera	112	79	78	1	70	8	0				
Senterada	104	224	219	5	206	8	5						
Talarn	345	255	253	2	232	16	5						
Tremp	4.279	2.166	2.166	0	2.064	102	0						
													
													
													
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Alins	236	205	199	6	195	4	0						
Alt	Àneu	351	281	278	3	267	6	5					
Baix	Pallars	277	180	175	5	168	7	0					
Espot	285	217	216	1	190	20	6						
Esterri	d'Àneu	522	365	356	9	345	5	6					
Esterri	de	Cardós	60	83	82	1	81	1	0				
Farrera	105	94	94	0	89	4	1						
La	Guingueta	d'Àneu	236	272	271	1	259	12	0				
Lladorre	193	132	130	2	126	3	1						
Llavorsí	290	162	160	2	155	3	2						
Rialp	499	461	454	7	418	31	5						
Soriguera	331	364	361	3	347	13	1						
Sort	1.495	645	623	22	592	24	7						
Tírvia	122	97	97	0	94	2	1						
Vall	de	Cardós	293	167	165	2	155	9	1				
													
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Banyoles	12.546	7.034	7.004	30	6.775	151	78						
Camós	548	538	535	3	506	19	10						
Cornellà	del	Terri	1.715	1.15	1.147	3	1.122	17	8				
Crespià	177	204	203	1	190	5	8						
Esponellà	331	260	257	3	250	3	4						
Fontcoberta	1.134	781	781	0	757	15	9						
Palol	de	Revardit	354	1.002	999	3	982	11	6				
Porqueres	3.437	2.23	2.227	3	2.156	52	19						
Sant	Miquel	de	Campmajor	178	194	191	3	182	4	5			
Serinyà	844	710	710	0	686	13	11						
Vilademuls	582	720	716	4	677	21	18						
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Barbens	568	417	415	2	389	19	7						
Bell-lloc	d'Urgell	1.651	878	878	0	878	0	0					
Bellvís	1.555	1.156	1.153	3	1.111	34	8						
Castellnou	de	Seana	556	376	373	3	365	7	1				
El	Palau	d'Anglesola	1.62	647	640	7	610	22	8				
El	Poal	509	359	356	3	334	19	3					
Fondarella	640	446	446	0	412	20	14						
Golmés	1.273	877	877	0	848	29	0						
Ivars	d'Urgell	1.168	825	813	12	787	26	0					
Linyola	1.915	1.358	1.358	0	1.358	0	0						
Miralcamp	1.028	770	765	5	711	40	14						
Mollerussa	8.585	4.945	4.881	64	4.582	234	65						
Sidamon	566	336	336	0	336	0	0						
Torregrossa	1.558	926	922	4	860	48	14						
Vilanova	de	Bellpuig	891	658	658	0	639	16	3				
Vila-sana	548	391	390	1	361	28	1						
													
													
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Bellmunt	del	Priorat	231	165	165	0	153	11	1				
Cabacés	254	206	204	2	187	9	8						
Capçanes	330	270	270	0	261	7	2						
Cornudella	de	Montsant	728	790	788	2	753	26	9				
El	Lloar	105	89	89	0	86	3	0					
El	Masroig	365	282	277	5	272	2	3					
El	Molar	226	229	223	6	205	16	2					
Els	Guiamets	238	213	210	3	194	11	5					
Falset	1.975	1.296	1.281	15	1.232	37	12						
Gratallops	182	153	153	0	144	9	0						
La	Bisbal	de	Falset	161	129	129	0	125	3	1			
La	Figuera	90	82	82	0	73	3	6					
La	Morera	de	Montsant	99	105	104	1	99	2	3			
La	Torre	de	Fontaubella	107	115	115	0	111	2	2			
La	Vilella	Alta	100	149	145	4	137	4	4				
La	Vilella	Baixa	138	97	97	0	94	0	3				
Marçà	439	431	425	6	403	20	2						
Margalef	89	110	107	3	101	4	2						
Poboleda	279	260	260	0	252	6	2						
Porrera	392	329	322	7	314	2	6						
Pradell	de	la	Teixeta	143	137	134	3	131	2	1			
Torroja	del	Priorat	130	133	133	0	128	3	2				
Ulldemolins	353	341	340	1	324	12	4						
													
													
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Ascó	1.381	753	735	18	691	31	13						
Benissanet	782	641	632	9	607	20	5						
Flix	2.86	1.756	1.738	18	1.668	57	13						
Garcia	399	262	258	4	247	5	6						
Ginestar	552	449	445	4	416	22	7						
La	Palma	d'Ebre	306	248	248	0	235	6	7				
La	Torre	de	l'Espanyol	439	357	355	2	335	14	6			
Miravet	526	433	432	1	406	22	4						
Móra	d'Ebre	3.919	1.802	1.772	30	1.662	103	7					
Móra	la	Nova	2.143	1.138	1.132	6	1.052	65	15				
Rasquera	599	484	484	0	469	10	5						
Riba-roja	d'Ebre	933	531	523	8	482	37	4					
Tivissa	1.281	999	991	8	954	26	11						
Vinebre	299	209	207	2	190	14	3						
													
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Campdevànol	2.717	1.704	1.693	11	1.595	79	19						
Campelles	104	115	115	0	113	2	0						
Camprodon	1.759	1.179	1.178	1	1.123	34	21						
Gombrèn	138	196	195	1	185	8	2						
Les	Llosses	179	206	206	0	196	6	4					
Llanars	407	361	359	2	341	15	3						
Molló	264	302	301	1	290	7	4						
Ogassa	190	213	212	1	200	6	6						
Pardines	130	146	146	0	142	2	2						
Planoles	228	238	238	0	229	4	5						
Queralbs	161	231	231	0	214	10	7						
Ribes	de	Freser	1.482	993	980	13	936	37	7				
Ripoll	8.053	4.378	4.364	14	4.111	190	63						
Sant	Joan	de	les	Abadesses	2.7	2.004	1.977	27	1.894	68	15		
Sant	Pau	de	Segúries	549	441	441	0	426	14	1			
Setcases	144	211	210	1	202	5	3						
Toses	135	143	143	0	142	1	0						
Vallfogona	de	Ripollès	171	323	322	1	312	6	4				
Vilallonga	de	Ter	314	275	275	0	263	11	1				
													
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Biosca	169	74	73	1	68	2	3						
Cervera	5.85	2.853	2.837	16	2.71	83	44						
Els	Plans	de	Sió	451	305	299	6	293	2	4			
Estaràs	148	0	0	0	0	0	0						
Granyanella	135	227	226	1	219	5	2						
Granyena	de	Segarra	130	214	214	0	208	4	2				
Guissona	2.766	1.491	1.477	14	1.357	79	41						
Ivorra	98	125	125	0	123	1	1						
Les	Oluges	140	138	137	1	132	3	2					
Massoteres	136	157	157	0	151	3	3						
Montoliu	de	Segarra	153	6	4	2	4	0	0				
Montornès	de	Segarra	84	154	154	0	145	8	1				
Ribera	d'Ondara	375	281	279	2	267	11	1					
Sanaüja	334	307	307	0	296	8	3						
Sant	Guim	de	Freixenet	743	525	522	3	478	35	9			
Sant	Guim	de	la	Plana	133	93	92	1	92	0	0		
Sant	Ramon	423	382	380	2	365	8	7					
Talavera	226	193	190	3	185	3	2						
Tarroja	de	Segarra	141	273	273	0	253	12	8				
Torà	922	710	707	3	678	26	3						
Torrefeta	i	Florejacs	494	252	248	4	240	5	3				
													
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Aitona	1.545	966	962	4	909	36	17						
Albatàrrec	1.405	755	748	7	690	50	8						
Alcanó	211	273	270	3	259	7	4						
Alcarràs	5.243	2.799	2.785	14	2.578	171	36						
Alcoletge	2.334	1.066	1.059	7	991	49	19						
Alfarràs	2.146	890	884	6	814	52	18						
Alfés	260	138	138	0	132	2	4						
Alguaire	2.107	1.192	1.178	14	1.128	32	18						
Almacelles	4.572	1.868	1.851	17	1.67	145	36						
Almatret	289	267	262	5	257	3	2						
Almenar	2.607	1.514	1.494	20	1.406	72	16						
Alpicat	4.531	2.757	2.749	8	2.511	178	60						
Artesa	de	Lleida	1.096	769	768	1	747	17	4				
Aspa	184	172	171	1	161	6	4						
Benavent	de	Segrià	1.055	649	647	2	612	24	11				
Corbins	998	656	649	7	621	13	15						
Els	Alamús	571	503	496	7	466	19	11					
Gimenells	i	el	Pla	de	la	Font	857	388	376	12	333	35	8
La	Granja	d'Escarp	707	420	419	1	360	51	8				
La	Portella	397	316	313	3	297	12	4					
Llardecans	417	325	325	0	312	9	4						
Lleida	92.002	34.033	33.681	352	30.553	2.727	401						
Maials	706	458	455	3	436	9	10						
Massalcoreig	403	277	269	8	245	17	7						
Montoliu	de	Lleida	364	294	290	4	279	7	4				
Puigverd	de	Lleida	1.036	480	479	1	456	12	11				
Rosselló	2.11	1.153	1.147	6	1.066	51	30						
Sarroca	de	Lleida	329	248	248	0	240	5	3				
Seròs	1.231	856	853	3	779	50	24						
Soses	1.108	778	774	4	746	19	9						
Sudanell	680	480	479	1	456	12	11						
Sunyer	233	162	162	0	158	4	0						
Torrebesses	253	215	214	1	201	10	3						
Torrefarrera	3.035	1.855	1.842	13	1.743	77	22						
Torres	de	Segre	1.397	787	774	13	749	25	0				
Torre-serona	275	136	132	4	122	7	3						
Vilanova	de	la	Barca	728	401	394	7	374	17	3			
Vilanova	de	Segrià	707	524	521	3	489	24	8				
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Amer	1.731	1.453	1.446	7	1.397	37	12						
Anglès	3.64	1.975	1.966	9	1.899	37	30						
Arbúcies	4.015	2.991	2.979	12	2.886	61	32						
Blanes	27.269	8.028	7.989	39	7.229	651	109						
Breda	2.821	2.157	2.132	25	2.028	82	22						
Brunyola	293	501	499	2	487	8	4						
Caldes	de	Malavella	5.307	2.728	2.698	30	2.53	132	36				
Fogars	de	la	Selva	1.139	731	724	7	646	68	10			
Hostalric	2.94	1.621	1.605	16	1.489	99	17						
La	Cellera	de	Ter	1.516	1.321	1.32	1	1.283	31	6			
Lloret	de	Mar	19.555	6.22	6.198	22	5.593	490	115				
Maçanet	de	la	Selva	4.954	2.024	2.018	6	1.843	150	25			
Massanes	559	351	346	5	331	10	5						
Osor	354	288	285	3	274	5	6						
Riells	i	Viabrea	2.969	1.508	1.506	2	1.427	73	6				
Riudarenes	1.515	926	925	1	874	36	15						
Riudellots	de	la	Selva	1.401	1.139	1.132	7	1.094	26	12			
Sant	Feliu	de	Buixalleu	643	513	511	2	492	12	7			
Sant	Hilari	Sacalm	3.982	2.297	2.289	8	2.215	52	22				
Sant	Julià	del	Llor	i	Bonmati	897	874	869	5	842	19	8	
Santa	Coloma	de	Farners	8.295	3.574	3.572	2	3.483	69	20			
Sils	4.216	1.98	1.959	21	1.867	79	13						
Susqueda	80	64	64	0	63	1	0						
Tossa	de	Mar	3.791	2.119	2.104	15	1.94	145	19				
Vidreres	5.424	2.582	2.576	6	2.456	91	29						
Vilobí	d'Onyar	2.26	1.729	1.723	6	1.666	38	19					
													
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Castellar	de	la	Ribera	108	91	90	1	88	0	2			
Clariana	de	Cardener	117	260	260	0	243	10	7				
Guixers	117	157	153	4	141	11	1						
La	Coma	i	la	Pedra	231	377	376	1	356	17	3		
La	Molsosa	95	67	66	1	63	2	1					
Lladurs	166	296	295	1	280	11	4						
Llobera	175	288	286	2	271	12	3						
Navès	227	221	219	2	218	1	0						
Odèn	219	235	235	0	227	2	6						
Olius	685	481	477	4	458	7	12						
Pinell	de	Solsonès	181	127	126	1	125	0	1				
Pinós	230	219	219	0	209	6	4						
Riner	213	431	427	4	400	11	16						
Sant	Llorenç	de	Morunys	759	527	526	1	509	10	7			
Solsona	6.212	3.011	3.002	9	2.893	71	38						
													
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Altafulla	3.534	2.324	2.273	51	2.051	134	88						
Constantí	4.161	1.493	1.483	10	1.398	71	14						
Creixell	2.505	884	864	20	784	68	12						
El	Catllar	3.13	1.603	1.587	16	1.493	66	28					
El	Morell	2.474	1.351	1.339	12	1.255	67	17					
Els	Pallaresos	3.301	1.944	1.94	4	1.768	141	31					
La	Canonja	4.374	1.118	1.104	14	967	109	28					
La	Nou	de	Gaià	393	369	361	8	339	17	5			
La	Pobla	de	Mafumet	2.606	857	848	9	726	103	19			
La	Pobla	de	Montornès	2.044	937	925	12	850	58	17			
La	Riera	de	Gaià	1.177	620	616	4	578	33	5			
La	Secuita	1.247	692	688	4	650	29	9					
Perafort	880	657	655	2	596	42	17						
Renau	106	47	47	0	42	2	3						
Roda	de	Berà	4.647	1.233	1.217	16	1.105	95	17				
Salomó	340	311	311	0	295	12	4						
Salou	14.392	3.36	3.329	31	2.963	317	49						
Tarragona	90.275	20.582	20.416	166	18.509	1.358	549						
Torredembarra	10.688	3.645	3.628	17	3.361	215	52						
Vespella	de	Gaià	301	234	234	0	215	16	3				
Vilallonga	del	Camp	1.584	1.047	1.041	6	957	71	13				
Vila-seca	14.599	3.083	3.069	14	2.888	146	35						
													
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Arnes	408	427	425	2	384	26	15						
Batea	1.497	766	756	10	669	69	18						
Bot	517	308	303	5	288	10	5						
Caseres	216	109	107	2	98	6	3						
Corbera	d'Ebre	805	570	564	6	513	30	21					
El	Pinell	de	Brai	810	516	507	9	472	20	15			
Gandesa	2.015	1.07	1.067	3	1.029	25	13						
Horta	de	Sant	Joan	921	622	613	9	561	40	12			
La	Fatarella	854	543	535	8	504	20	11					
La	Pobla	de	Massaluca	259	190	186	4	166	16	4			
Prat	de	Comte	146	111	111	0	103	4	4				
Vilalba	dels	Arcs	554	369	363	6	339	14	10				
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Agramunt	3.762	1.982	1.977	5	1.891	62	24						
Anglesola	976	637	635	2	610	19	6						
Belianes	422	317	305	12	289	10	6						
Bellpuig	3.233	2.198	2.194	4	2.077	79	38						
Castellserà	823	674	652	22	606	37	9						
Ciutadilla	178	222	216	6	208	6	2						
Els	Omells	de	na	Gaia	122	103	103	0	102	1	0		
Guimerà	231	146	145	1	145	0	0						
La	Fuliola	902	500	498	2	466	24	8					
Maldà	195	172	172	0	166	3	3						
Nalec	86	78	76	2	71	2	3						
Ossó	de	Sió	181	294	291	3	278	12	1				
Preixana	309	249	240	9	229	7	4						
Puigverd	d'Agramunt	172	254	252	2	229	16	7					
Sant	Martí	de	Riucorb	567	440	436	4	406	16	14			
Tàrrega	10.625	5.565	5.53	35	5.289	169	72						
Tornabous	564	374	374	0	359	9	6						
Vallbona	de	les	Monges	204	179	176	3	168	2	6			
Verdú	720	411	405	6	384	15	6						
Vilagrassa	361	486	477	9	456	15	6						
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Badia	del	Vallès	10.553	2.055	2.031	24	1.506	478	47				
Barberà	del	Vallès	24.57	7.318	7.203	115	5.709	1.308	186				
Castellar	del	Vallès	17.949	9.144	9.06	84	8.327	607	126				
Castellbisbal	8.998	3.977	3.955	22	3.343	525	87						
Cerdanyola	del	Vallès	43.03	17.94	17.722	218	15.036	2.158	528				
Gallifa	152	184	182	2	173	3	6						
Matadepera	6.835	4.553	4.537	16	4.333	141	63						
Montcada	i	Reixac	25.081	8.658	8.571	87	7.04	1.26	271				
Palau-solità	i	Plegamans	10.891	15.491	15.459	32	10.869	4.472	118				
Polinyà	5.91	10.247	10.215	32	9.717	447	51						
Rellinars	579	369	364	5	328	30	6						
Ripollet	26.613	6.931	6.855	76	5.78	916	159						
Rubí	53.823	16.73	16.586	144	14.348	1.916	322						
Sabadell	152.377	62.896	62.215	681	54.058	6.865	1.292						
Sant	Cugat	del	Vallès	59.826	32.805	32.468	337	28.985	2.507	976			
Sant	Llorenç	Savall	1.852	1.266	1.241	25	1.155	65	21				
Sant	Quirze	del	Vallès	14.531	15.846	15.758	88	14.346	1.108	304			
Santa	Perpètua	de	Mogoda	18.335	6.434	6.366	68	5.298	919	149			
Sentmenat	6.461	3.001	2.99	11	2.739	218	33						
Terrassa	153.025	60.294	59.753	541	52.837	5.73	1.186						
Ullastrell	1.507	1.357	1.352	5	1.236	93	23						
Vacarisses	4.536	1.955	1.941	14	1.761	150	30						
Viladecavalls	5.678	3.286	3.272	14	2.91	294	68						
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Aiguafreda	1.962	1.229	1.211	18	1.13	67	14						
Bigues	i	Riells	6.734	3.942	3.902	40	3.514	321	67				
Caldes	de	Montbui	12.813	7.474	7.432	42	6.821	485	126				
Campins	362	443	439	4	411	17	11						
Canovelles	10.343	2.654	2.621	33	2.289	295	37						
Cànoves	i	Samalús	2.231	1.041	1.035	6	944	75	16				
Cardedeu	13.29	7.414	7.349	65	6.818	380	151						
Figaró-Montmany	810	476	475	1	444	26	5						
Fogars	de	Montclús	339	301	297	4	283	10	4				
Granollers	42.622	20.045	19.787	258	17.601	1.837	349						
Gualba	1.021	758	752	6	710	33	9						
La	Garriga	11.899	7.205	7.151	54	6.712	309	130					
La	Llagosta	9.63	2.43	2.378	52	1.836	487	55					
La	Roca	del	Vallès	7.887	3.995	3.923	72	3.595	276	52			
L'Ametlla	del	Vallès	6.205	4.066	4.036	30	3.773	199	64				
Les	Franqueses	del	Vallès	13.582	5.142	5.083	59	4.56	436	87			
Lliçà	d'Amunt	11.502	4.254	4.188	66	3.717	390	81					
Lliçà	de	Vall	5.016	2.304	2.265	39	1.966	254	45				
Llinars	del	Vallès	7.279	4.247	4.181	66	3.76	311	110				
Martorelles	3.799	1.848	1.822	26	1.605	197	20						
Mollet	del	Vallès	36.804	12.011	11.888	123	9.82	1.75	318				
Montmeló	6.677	2.522	2.433	89	2.03	330	73						
Montornès	del	Vallès	11.45	3.077	3.008	69	2.477	462	69				
Montseny	262	237	230	7	215	9	6						
Parets	del	Vallès	14.096	5.613	5.576	37	4.906	565	105				
Sant	Antoni	de	Vilamajor	4.411	2.444	2.418	26	2.3	104	14			
Sant	Celoni	12.68	7.483	7.429	54	6.871	482	76					
Sant	Esteve	de	Palautordera	1.865	1.592	1.586	6	1.525	46	15			
Sant	Feliu	de	Codines	4.329	2.552	2.542	10	2.402	113	27			
Sant	Fost	de	Campsentelles	6.773	2.448	2.43	18	2.214	176	40			
Sant	Pere	de	Vilamajor	3.2	1.72	1.697	23	1.599	84	14			
Santa	Eulàlia	de	Ronçana	5.419	2.866	2.846	20	2.599	202	45			
Santa	Maria	de	Martorelles	650	512	503	9	462	24	17			
Santa	Maria	de	Palautordera	6.637	4.081	4.044	37	3.746	229	69			
Tagamanent	237	341	341	0	325	13	3						
Vallgorguina	1.966	1.304	1.299	5	1.209	57	33						
Vallromanes	1.777	1.407	1.404	3	1.279	99	26						
Vilalba	Sasserra	506	284	281	3	262	15	4					
Vilanova	del	Vallès	3.761	2.113	2.104	9	1.937	136	31				
