MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Alàs	i	Cerc	279	205	205	0	200	5	0				
Arsèguel	64	74	73	1	68	3	2						
Bassella	188	137	137	0	127	7	3						
Cabó	83	40	38	2	38	0	0						
Cava	49	32	32	0	32	0	0						
Coll	de	Nargó	463	329	326	3	308	11	7				
El	Pont	de	Bar	135	92	92	0	91	1	0			
Estamariu	96	88	88	0	87	1	0						
Fígols	i	Alinyà	226	115	115	0	113	2	0				
Josa	i	Tuixén	100	100	100	0	98	0	2				
La	Seu	d'Urgell	8.931	3.278	3.273	5	3.125	127	21				
La	Vansa	i	Fórnols	148	107	102	5	99	2	1			
Les	Valls	d'Aguilar	218	56	56	0	54	2	0				
Les	Valls	de	Valira	590	464	464	0	447	7	10			
Montferrer	i	Castellbò	788	709	700	9	674	15	11				
Oliana	1.385	824	821	3	770	39	12						
Organyà	647	522	505	17	476	21	8						
Peramola	285	188	182	6	175	7	0						
Ribera	d'Urgellet	692	306	304	2	296	8	0					
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
El	Pont	de	Suert	1.705	555	550	5	519	18	13			
La	Vall	de	Boí	807	741	732	9	652	60	20			
Vilaller	435	245	242	3	215	23	4						
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Argençola	190	138	138	0	137	1	0						
Bellprat	70	86	85	1	80	4	1						
Cabrera	d'Anoia	1.024	283	283	0	260	19	4					
Calaf	2.322	1.327	1.318	9	1.251	47	20						
Calonge	de	Segarra	163	148	148	0	143	4	1				
Capellades	4.141	2.316	2.295	21	2.141	124	30						
Carme	582	386	384	2	364	11	9						
Castellfollit	de	Riubregós	144	131	131	0	122	7	2				
Castellolí	453	594	592	2	568	16	8						
Copons	240	266	266	0	254	6	6						
El	Bruc	1.49	599	598	1	573	15	10					
Els	Hostalets	de	Pierola	2.047	1.217	1.202	15	1.097	83	22			
Els	Prats	de	Rei	450	399	397	2	376	14	7			
Igualada	28.296	13.776	13.728	48	13.039	528	161						
Jorba	625	597	592	5	555	22	15						
La	Llacuna	679	460	460	0	445	7	8					
La	Pobla	de	Claramunt	1.649	940	940	0	857	67	16			
La	Torre	de	Claramunt	2.879	939	933	6	844	77	12			
Masquefa	6.181	2.515	2.501	14	2.252	210	39						
Montmaneu	128	107	107	0	98	6	3						
Òdena	2.682	1.236	1.232	4	1.165	47	20						
Orpí	114	146	146	0	141	2	3						
Piera	11.144	4.197	4180	17	3780	338	62						
Pujalt	156	149	147	2	143	3	1						
Rubió	188	228	225	3	221	2	2						
Sant	Martí	de	Tous	891	710	710	0	690	16	4			
Sant	Martí	Sesgueioles	301	222	221	1	201	13	7				
Sant	Pere	Sallavinera	127	145	144	1	138	1	5				
Santa	Margarida	de	Montbui	7.061	1.698	1.693	5	1.509	154	30			
Santa	Maria	de	Miralles	107	226	225	1	216	3	6			
Vallbona	d'Anoia	1.072	603	602	1	552	42	8					
Veciana	134	118	118	0	113	1	4						
Vilanova	del	Camí	9.218	2.455	2.448	7	2.041	360	47				
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Arres	52	-	-	-	-	-	-						
Bausen	57	13	13	0	10	3	0						
Bossòst	805	-	-	-	-	-	-						
Canejan	87	-	-	-	-	-	-						
Es	Bòrdes	208	-	-	-	-	-	-					
Les	644	345	343	2	289	43	11						
Naut	Aran	1.353	375	344	31	296	39	9					
Vielha	e	Mijaran	3.646	872	843	29	697	130	16				
Vilamòs	123	100	100	0	88	12	0						
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Aguilar	de	Segarra	200	388	383	5	364	12	7				
Artés	4.168	2.914	2.904	10	2.718	145	41						
Avinyó	1.672	1.334	1.332	2	1.293	24	15						
Balsareny	2.636	1.127	1.119	8	1.051	57	11						
Callús	1.487	-	-	-	-	-	-						
Cardona	3.899	2.018	2.007	11	1.783	158	66						
Castellbell	i	el	Vilar	2.788	1.801	1.795	6	1.632	139	24			
Castellfollit	del	Boix	348	341	339	2	330	5	4				
Castellgalí	1.497	-	-	-	-	-	-						
Castellnou	de	Bages	956	668	664	4	634	22	8				
El	Pont	de	Vilomara	i	Rocafort	2.811	1.001	1000	1	886	87	27	
Fonollosa	1.142	741	731	10	681	40	10						
Gaià	128	309	306	3	300	4	2						
Manresa	52.036	25.424	25.311	113	23.864	1.069	378						
Marganell	219	211	207	4	199	5	3						
Monistrol	de	Montserrat	2.225	1.116	1.091	25	1.007	64	20				
Mura	175	314	313	1	290	17	6						
Navarcles	4.774	2.599	2.57	29	2.416	128	26						
Navàs	4.563	2.974	2.967	7	2.798	131	38						
Rajadell	435	549	549	0	527	16	6						
Sallent	5.239	3.306	3.297	9	3.104	168	25						
Sant	Feliu	Sasserra	488	453	453	0	437	12	4				
Sant	Fruitós	de	Bages	6.319	2.95	2.939	11	2.765	146	28			
Sant	Joan	de	Vilatorrada	8.009	3.332	3.32	12	3.14	133	47			
Sant	Mateu	de	Bages	535	697	686	11	659	17	10			
Sant	Salvador	de	Guardiola	2.381	1.197	1.191	6	1.113	70	8			
Sant	Vicenç	de	Castellet	6.836	3.362	3.323	39	3.026	238	59			
Santpedor	5.678	3.171	3.154	17	3.04	84	30						
Súria	4.665	2.95	2.939	11	2.765	146	28						
Talamanca	157	191	190	1	178	9	3						
													
MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc						
Alforja	1.403	716	712	4	692	14	6						
Almoster	1.077	741	739	2	708	21	10						
Arbolí	112	226	225	1	213	10	2						
Botarell	765	500	498	2	476	14	8						
Cambrils	21.366	6.189	6.152	37	5.695	361	96						
Capafonts	99	168	167	1	166	0	1						
Castellvell	del	Camp	2.129	855	850	5	815	31	4				
Colldejou	149	394	393	1	384	5	4						
Duesaigües	191	274	270	4	261	6	3						
La	Febró	38	68	68	0	65	1	2					
La	Selva	del	Camp	4.096	2.151	2.14	11	2.022	86	32			
L'Albiol	324	200	199	1	187	9	3						
L'Aleixar	641	499	496	3	472	18	6						
L'Argentera	124	228	227	1	215	9	3						
Les	Borges	del	Camp	1.458	778	775	3	747	19	9			
