MUNICIPIS	Cens	Votants	Vàlids	Nuls	Sí	No	Blanc
Sant Llorenç de la Muga	165	141	136	5	125	8	3
Sant Miquel de Fluvià	578	-	-	-	-	-	-
Sant Mori	124	191	191	0	177	9	5
Sant Pere Pescador	1059	647	645	2	625	9	11
Santa Llogaia d'Àlguema	263	376	374	2	345	27	2
Saus, Camallera i Llampaies	631	469	463	6	441	10	12
Siurana	125	96	96	0	89	5	2
Terrades	220	215	214	1	200	11	3
Torroella de Fluvià	429	283	283	0	270	8	5
Ventalló	551	493	491	2	455	18	18
Vilabertran	705	441	440	1	417	17	6
Viladamat	354	391	390	1	380	2	8
Vilafant	4153	1396	1386	10	1290	78	18
Vilajuïga	801	366	358	8	335	19	4
Vilamacolum	214	224	222	2	214	6	2
Vilamalla	867	377	373	4	326	40	7
Vilamaniscle	129	99	99	0	99	0	0
Vilanant	288	260	258	2	239	12	7
Vila-sacra	468	249	249	0	229	15	5
Vilaür	101	171	169	2	161	6	2
Avinyonet del Penedès	1224	742	740	2	695	38	7
Castellet i la Gornal	1730	741	737	4	674	44	19
Castellví de la Marca	1176	828	828	0	763	43	22
El Pla del Penedès	913	697	694	3	653	32	9
Font-rubí	1	765	758	7	724	20	14
Gelida	5244	2763	2739	24	2503	180	56
La Granada	1559	1094	1083	11	1005	62	16
Les Cabanyes	687	462	460	2	427	28	5
Mediona	1698	1077	1067	10	999	43	25
Olèrdola	2599	1487	1480	7	1385	64	31
Olesa de Bonesvalls	1286	869	867	2	749	83	35
Pacs del Penedès	696	453	452	1	404	41	7
Pontons	358	306	306	0	282	21	3
Puigdàlber	392	317	317	0	297	11	9
Sant Cugat Sesgarrigues	728	510	507	3	476	18	13
Sant Llorenç d'Hortons	1895	1321	1307	14	1215	75	17
Sant Martí Sarroca	2326	1551	1545	6	1469	56	20
Sant Pere de Riudebitlles	1775	1281	1275	6	1188	74	13
Sant Quintí de Mediona	1527	1021	1017	4	976	35	6
Sant Sadurní d'Anoia	9348	5483	5460	23	5036	324	100
Santa Fe del Penedès	266	292	291	1	274	10	7
Santa Margarida i els Monjos	4984	2071	2064	7	1874	163	27
Subirats	2333	1768	1747	21	1670	49	28
Torrelavit	1048	829	812	17	783	17	12
Torrelles de Foix	1659	848	845	3	745	88	12
Vilafranca del Penedès	27339	14717	14660	57	13684	765	211
Vilobí del Penedès	812	613	611	2	591	12	8
Alàs i Cerc	279	205	205	0	200	5	0
Arsèguel	64	74	73	1	68	3	2
Bassella	188	137	137	0	127	7	3
Cabó	83	40	38	2	38	0	0
Cava	49	32	32	0	32	0	0
Coll de Nargó	463	329	326	3	308	11	7
El Pont de Bar	135	92	92	0	91	1	0
Estamariu	96	88	88	0	87	1	0
Fígols i Alinyà	226	115	115	0	113	2	0
Josa i Tuixén	100	100	100	0	98	0	2
La Seu d'Urgell	8931	3278	3273	5	3125	127	21
La Vansa i Fórnols	148	107	102	5	99	2	1
Les Valls d'Aguilar	218	56	56	0	54	2	0
Les Valls de Valira	590	464	464	0	447	7	10
Montferrer i Castellbò	788	709	700	9	674	15	11
Oliana	1385	824	821	3	770	39	12
Organyà	647	522	505	17	476	21	8
Peramola	285	188	182	6	175	7	0
Ribera d'Urgellet	692	306	304	2	296	8	0
El Pont de Suert	1705	555	550	5	519	18	13
La Vall de Boí	807	741	732	9	652	60	20
Vilaller	435	245	242	3	215	23	4
Argençola	190	138	138	0	137	1	0
Bellprat	70	86	85	1	80	4	1
Cabrera d'Anoia	1024	283	283	0	260	19	4
Calaf	2322	1327	1318	9	1251	47	20
Calonge de Segarra	163	148	148	0	143	4	1
Capellades	4141	2316	2295	21	2141	124	30
Carme	582	386	384	2	364	11	9
Castellfollit de Riubregós	144	131	131	0	122	7	2
Castellolí	453	594	592	2	568	16	8
Copons	240	266	266	0	254	6	6
El Bruc	1490	599	598	1	573	15	10
Els Hostalets de Pierola	2047	1217	1202	15	1097	83	22
Els Prats de Rei	450	399	397	2	376	14	7
Igualada	28296	13776	13728	48	13039	528	161
Jorba	625	597	592	5	555	22	15
La Llacuna	679	460	460	0	445	7	8
La Pobla de Claramunt	1649	940	940	0	857	67	16
La Torre de Claramunt	2879	939	933	6	844	77	12
Masquefa	6181	2515	2501	14	2252	210	39
Montmaneu	128	107	107	0	98	6	3
Òdena	2682	1236	1232	4	1165	47	20
Orpí	114	146	146	0	141	2	3
Piera	11144	4197	4180	17	3780	338	62
Pujalt	156	149	147	2	143	3	1
Rubió	188	228	225	3	221	2	2
Sant Martí de Tous	891	710	710	0	690	16	4
Sant Martí Sesgueioles	301	222	221	1	201	13	7
Sant Pere Sallavinera	127	145	144	1	138	1	5
Santa Margarida de Montbui	7061	1698	1693	5	1509	154	30
Santa Maria de Miralles	107	226	225	1	216	3	6
Vallbona d'Anoia	1072	603	602	1	552	42	8
Veciana	134	118	118	0	113	1	4
Vilanova del Camí	9218	2455	2448	7	2041	360	47
Arres	52	-	-	-	-	-	-
Bausen	57	13	13	0	10	3	0
Bossòst	805	-	-	-	-	-	-
Canejan	87	-	-	-	-	-	-
Es Bòrdes	208	-	-	-	-	-	-
Les	644	345	343	2	289	43	11
Naut Aran	1353	375	344	31	296	39	9
Vielha e Mijaran	3646	872	843	29	697	130	16
Vilamòs	123	100	100	0	88	12	0
Aguilar de Segarra	200	388	383	5	364	12	7
Artés	4168	2914	2904	10	2718	145	41
Avinyó	1672	1334	1332	2	1293	24	15
Balsareny	2636	1127	1119	8	1051	57	11
Callús	1487	-	-	-	-	-	-
Cardona	3899	2018	2007	11	1783	158	66
Castellbell i el Vilar	2788	1801	1795	6	1632	139	24
Castellfollit del Boix	348	341	339	2	330	5	4
Castellgalí	1497	-	-	-	-	-	-
Castellnou de Bages	956	668	664	4	634	22	8
El Pont de Vilomara i Rocafort	2811	1001	1000	1	886	87	27
Fonollosa	1142	741	731	10	681	40	10
Gaià	128	309	306	3	300	4	2
Manresa	52036	25424	25311	113	23864	1069	378
Marganell	219	211	207	4	199	5	3
Monistrol de Montserrat	2225	1116	1091	25	1007	64	20
Mura	175	314	313	1	290	17	6
Navarcles	4774	2599	2570	29	2416	128	26
Navàs	4563	2974	2967	7	2798	131	38
Rajadell	435	549	549	0	527	16	6
Sallent	5239	3306	3297	9	3104	168	25
Sant Feliu Sasserra	488	453	453	0	437	12	4
Sant Fruitós de Bages	6319	2950	2939	11	2765	146	28
Sant Joan de Vilatorrada	8009	3332	3320	12	3140	133	47
Sant Mateu de Bages	535	697	686	11	659	17	10
Sant Salvador de Guardiola	2381	1197	1191	6	1113	70	8
Sant Vicenç de Castellet	6836	3362	3323	39	3026	238	59
Santpedor	5678	3171	3154	17	3040	84	30
Súria	4665	2950	2939	11	2765	146	28
Talamanca	157	191	190	1	178	9	3
Alforja	1403	716	712	4	692	14	6
Almoster	1077	741	739	2	708	21	10
Arbolí	112	226	225	1	213	10	2
Botarell	765	500	498	2	476	14	8
Cambrils	21366	6189	6152	37	5695	361	96
Capafonts	99	168	167	1	166	0	1
Castellvell del Camp	2129	855	850	5	815	31	4
Colldejou	149	394	393	1	384	5	4
Duesaigües	191	274	270	4	261	6	3
La Febró	38	68	68	0	65	1	2
La Selva del Camp	4096	2151	2140	11	2022	86	32
L'Albiol	324	200	199	1	187	9	3
L'Aleixar	641	499	496	3	472	18	6
L'Argentera	124	228	227	1	215	9	3
Les Borges del Camp	1458	778	775	3	747	19	9
Maspujols	593	347	346	1	327	12	7
Montbrió del Camp	1996	1016	1007	9	968	29	10
Mont-roig del Camp	7036	1150	1135	15	1046	79	10
Prades	451	436	432	4	423	6	3
Pratdip	419	369	366	3	344	11	11
Reus	70482	25715	25595	120	23521	1659	415
Riudecanyes	743	557	554	3	530	19	5
Riudecols	907	523	519	4	472	33	14
Riudoms	4580	2172	2172	0	2074	81	17
Vandellòs i l'Hospitalet de l'Infant	4346	1531	1520	11	1438	74	8
Vilanova d'Escornalbou	375	354	354	0	335	15	4
Vilaplana	450	439	436	3	408	21	7
Vinyols i els Arcs	1350	363	363	0	353	8	2
Aldover	681	370	369	1	355	10	4
Alfara de Carles	307	142	141	1	134	6	1
Benifallet	600	372	368	4	334	26	8
Camarles	2392	1380	1376	4	1302	46	28
Deltebre	8737	5257	5215	42	5010	170	35
El Perelló	1783	1232	1229	3	1201	20	8
L'Aldea	2900	1691	1681	10	1517	135	29
L'Ametlla de Mar	4411	2200	2186	14	2101	55	30
L'Ampolla	2102	1392	1377	15	1311	63	3
Paüls	480	321	312	9	278	26	8
Roquetes	5666	1860	1847	13	1719	103	25
Tivenys	686	409	408	1	366	27	15
Tortosa	22873	11752	11620	132	10711	744	165
Xerta	938	669	667	2	624	37	6
Albons	512	390	390	0	366	15	9
Begur	2787	1583	1575	8	1443	94	38
Bellcaire d'Empordà	480	285	284	1	274	9	1
Calonge	6931	2888	2879	9	2755	93	31
Castell-Platja d'Aro	6241	3234	3198	36	2962	199	37
Colomers	150	115	114	1	110	2	2
Corçà	968	675	665	10	641	14	10
Cruïlles, Monells i Sant Sadurní de l'Heura	987	758	751	7	723	20	8
Foixà	245	178	177	1	172	2	3
Fontanilles	111	183	183	0	175	7	1
Forallac	1357	1243	1238	5	1182	37	19
Garrigoles	124	103	103	0	99	4	0
Gualta	246	178	176	2	175	1	0
Jafre	301	294	293	1	290	2	1
La Bisbal d'Empordà	6910	3708	3689	19	3563	88	38
La Pera	325	301	299	2	293	5	1
La Tallada d'Empordà	329	-	-	-	-	-	-
Mont-ras	1322	764	756	8	677	68	11
Palafrugell	14353	6855	6805	50	6281	437	87
Palamós	12711	6421	6394	27	5990	341	63
Palau-sator	224	145	144	1	142	2	0
Pals	1607	1061	1059	2	1009	38	12
Parlavà	311	278	277	1	270	3	4
Regencós	206	159	157	2	149	7	1
Rupià	188	191	190	1	188	1	1
Sant Feliu de Guíxols	14747	5421	5413	8	5146	216	51
Santa Cristina d'Aro	3372	2222	2207	15	2034	131	42
Serra de Daró	141	132	130	2	128	0	2
Torrent	132	103	103	0	94	7	2
Torroella de Montgrí	6853	4004	3985	19	3785	152	48
Ullà	572	346	344	2	331	8	5
Ullastret	208	245	244	1	236	1	7
Ultramort	153	121	119	2	117	1	1
Vall-llobrega	630	418	415	3	393	15	7
Verges	830	859	856	3	825	18	13
Vilopriu	152	126	126	0	122	3	1
Abrera	8907	2690	2664	26	2202	392	70
Begues	4926	2875	2828	47	2580	187	61
Castelldefels	42140	12325	12174	151	10140	1675	359
Castellví de Rosanes	1365	860	851	9	764	77	10
Cervelló	6718	2966	2934	32	2650	248	36
Collbató	3169	1876	1864	12	1715	107	42
Corbera de Llobregat	10259	4880	4834	46	4375	363	96
Cornellà de Llobregat	61814	13472	13312	160	11006	2086	220
El Papiol	3082	1719	1700	19	1530	144	26
El Prat de Llobregat	47759	12940	12815	125	10414	2056	345
Esparreguera	16169	6568	6526	42	5861	537	128
Esplugues de Llobregat	34508	11563	11414	149	9097	2011	306
Gavà	33850	9461	9323	138	7966	1205	152
La Palma de Cervelló	2346	1541	1531	10	1385	114	32
Martorell	18292	7567	7468	99	6386	932	150
Molins de Rei	19140	10250	10164	86	9112	854	198
Olesa de Montserrat	16967	7761	7689	72	6793	739	157
Pallejà	8382	3471	3444	27	2921	435	88
Sant Andreu de la Barca	19233	2865	2783	82	2361	366	56
Sant Boi de Llobregat	61409	18229	18015	214	14674	2947	394
Sant Climent de Llobregat	3055	1840	1821	19	1604	185	32
Sant Esteve Sesrovires	5732	2556	2541	15	2277	200	64
Sant Feliu de Llobregat	33081	11327	11185	142	9498	1374	313
Sant Joan Despí	24989	8467	8349	118	6969	1130	250
Sant Just Desvern	12368	6460	6393	67	5682	506	205
Sant Vicenç dels Horts	20972	6530	6487	43	5600	768	119
Santa Coloma de Cervelló	5851	2928	2894	34	2504	286	104
Torrelles de Llobregat	4338	2782	2763	19	2547	168	48
Vallirana	10870	4105	4060	45	3548	438	74
Viladecans	48557	11750	11674	76	9300	2084	290
Albinyana	1801	645	633	12	572	50	11
Banyeres del Penedès	2215	866	848	18	764	74	10
Bellvei	1537	739	727	12	638	75	14
Bonastre	427	260	259	1	240	13	6
Calafell	16781	5322	5290	32	4779	432	79
Cunit	8512	2393	2370	23	2062	265	43
El Montmell	1076	257	254	3	230	18	6
El Vendrell	25248	7730	7643	87	6944	584	115
La Bisbal del Penedès	2688	1117	1098	19	1020	74	4
L'Arboç	3416	1235	1201	34	1109	89	3
Llorenç del Penedès	1754	1143	1139	4	1075	55	9
Masllorenç	364	328	324	4	317	3	4
Sant Jaume dels Domenys	1868	843	835	8	784	42	9
Santa Oliva	2367	654	650	4	611	36	3
Badalona	155409	54878	54361	517	45419	7723	1219
Barcelona	1136354	446388	441237	5151	389777	37975	13485
L'Hospitalet de Llobregat	174622	40387	40040	347	33156	5793	1091
Sant Adrià de Besòs	25660	6223	6122	101	5007	1015	100
Santa Coloma de Gramenet	78562	16445	16170	275	12772	2971	427
Avià	1756	1351	1349	2	1304	30	15
Bagà	1831	1081	1055	26	1002	44	9
Berga	12212	7935	7847	88	7522	240	85
Borredà	386	444	434	10	278	153	3
Capolat	73	72	72	0	71	1	0
Casserres	1293	971	965	6	929	19	17
Castell de l'Areny	60	53	53	0	53	0	0
Castellar de n'Hug	141	263	261	2	243	16	2
Castellar del Riu	141	156	151	5	144	3	4
Cercs	1005	689	670	19	635	25	10
Fígols	34	66	65	1	61	3	1
Gironella	3736	2345	2321	24	2227	76	18
Gisclareny	27	102	102	0	99	2	1
Gósol	211	205	204	1	191	11	2
Guardiola de Berguedà	749	584	583	1	552	24	7
La Nou de Berguedà	133	693	678	15	635	26	17
La Pobla de Lillet	991	34	34	0	34	0	0
La Quar	40	317	316	1	304	4	8
L'Espunyola	219	148	148	0	139	3	6
Montclar	95	123	123	0	121	1	1
Montmajor	383	304	304	0	287	13	4
Olvan	717	572	568	4	542	19	7
Puig-reig	3347	2212	2199	13	2114	60	25
Sagàs	115	311	306	5	288	11	7
Saldes	256	455	453	2	425	20	8
Sant Jaume de Frontanyà	25	26	26	0	25	0	1
Sant Julià de Cerdanyola	214	207	207	0	201	3	3
Santa Maria de Merlès	134	356	352	4	332	13	7
Vallcebre	219	261	261	0	246	14	1
Vilada	391	364	364	0	326	24	14
Viver i Serrateix	131	188	188	0	181	5	2
Alp	1127	525	518	7	501	11	6
Bellver de Cerdanya	1527	1098	1092	6	1032	39	21
Bolvir	268	271	271	0	263	4	4
Das	156	73	73	0	71	2	0
Fontanals de Cerdanya	374	221	220	1	217	2	1
Ger	336	183	182	1	174	4	4
Guils de Cerdanya	417	246	242	4	232	7	3
Isòvol	238	213	213	0	203	5	5
Lles de Cerdanya	210	184	184	0	178	4	2
Llívia	1059	590	580	10	561	19	0
Meranges	81	64	62	2	61	1	0
Montellà i Martinet	467	319	318	1	304	9	5
Prats i Sansor	186	262	260	2	239	14	7
Prullans	162	258	256	2	243	7	6
Puigcerdà	5887	2895	2883	12	2583	240	60
Riu de Cerdanya	86	72	72	0	70	0	2
Urús	146	535	534	1	505	15	14
Barberà de la Conca	357	354	352	2	337	11	4
Blancafort	310	276	273	3	267	4	2
Conesa	99	91	91	0	86	1	4
Forès	45	-	-	-	-	-	-
Les Piles	162	144	143	1	137	5	1
L'Espluga de Francolí	2812	1831	1817	14	1728	64	25
Llorac	83	72	72	0	68	2	2
Montblanc	5249	3514	3496	18	3293	162	41
Passanant i Belltall	145	249	248	1	243	1	4
Pira	383	262	260	2	237	16	7
Pontils	106	102	99	3	94	5	0
Rocafort de Queralt	195	141	141	0	135	4	2
Santa Coloma de Queralt	2039	1576	1560	16	1484	59	17
Sarral	1100	685	684	1	633	35	16
Savallà del Comtat	54	68	68	0	65	2	1
Senan	39	89	89	0	87	1	1
Solivella	524	400	400	0	380	11	9
Vallclara	85	99	99	0	95	3	1
Vallfogona de Riucorb	81	207	207	0	189	16	2
Vilanova de Prades	96	118	118	0	116	2	0
Vilaverd	344	234	234	0	225	8	1
Vimbodí i Poblet	785	592	589	3	565	19	5
Canyelles	3201	1339	1321	18	1163	126	32
Cubelles	10611	3697	3669	28	3191	400	78
Olivella	2233	927	910	17	807	89	14
Sant Pere de Ribes	20564	7236	7163	73	6333	680	150
Sitges	18490	8495	8432	63	7467	762	203
Vilanova i la Geltrú	48295	21743	21622	121	19390	1788	444
Arbeca	1655	1184	1170	14	1135	25	10
Bellaguarda	266	207	205	2	200	4	1
Bovera	235	184	184	0	180	2	2
Castelldans	719	445	444	1	405	26	13
Cervià de les Garrigues	582	440	439	1	422	11	6
El Cogul	145	142	142	0	138	3	1
El Soleràs	260	209	209	0	200	4	5
El Vilosell	159	160	160	0	151	8	1
Els Omellons	192	140	140	0	127	12	1
Els Torms	126	105	105	0	103	2	0
Fulleda	84	70	70	0	64	0	6
Granyena de les Garrigues	125	113	112	1	104	8	0
Juncosa	346	222	222	0	199	20	3
Juneda	2248	1505	1497	8	1436	34	27
La Floresta	130	115	115	0	111	1	3
La Granadella	561	450	448	2	435	6	7
La Pobla de Cérvoles	173	135	133	2	127	4	2
L'Albagés	340	193	190	3	185	5	0
L'Albi	627	449	445	4	409	29	7
Les Borges Blanques	4357	2442	2423	19	2340	62	21
L'Espluga Calba	308	280	271	9	254	5	12
Puiggròs	234	269	268	1	255	12	1
Tarrés	81	80	80	0	77	3	0
Vinaixa	417	300	300	0	280	17	3
Argelaguer	336	296	294	2	275	14	5
Besalú	1775	1136	1136	0	1099	31	6
Beuda	131	96	96	0	95	0	1
Castellfollit de la Roca	717	493	491	2	472	7	12
La Vall de Bianya	995	876	870	6	838	19	13
La Vall d'en Bas	2375	2310	2288	22	2218	30	40
Les Planes d'Hostoles	1255	906	895	11	878	7	10
Les Preses	1364	1111	1102	9	1065	27	10
Maià de Montcal	301	204	203	1	202	0	1
Mieres	247	299	296	3	280	6	10
Montagut i Oix	696	560	554	6	529	10	15
Olot	23041	12724	12669	55	12133	400	136
Riudaura	364	546	543	3	533	4	6
Sales de Llierca	92	185	185	0	178	3	4
Sant Aniol de Finestres	277	318	316	2	300	7	9
Sant Feliu de Pallerols	992	790	786	4	767	13	6
Sant Ferriol	150	367	366	1	351	7	8
Sant Jaume de Llierca	656	494	491	3	474	10	7
Sant Joan les Fonts	2265	1905	1903	2	1835	43	25
Santa Pau	1254	1286	1281	5	1222	35	24
Tortellà	613	451	443	8	409	22	12
Aiguaviva	556	376	374	2	364	8	2
Bescanó	3592	2014	2010	4	1965	29	16
Bordils	1134	785	784	1	759	17	8
Campllong	366	398	395	3	376	17	2
Canet d'Adri	537	601	599	2	572	19	8
Cassà de la Selva	6770	3574	3560	14	3466	58	36
Celrà	3117	2020	2010	10	1914	64	32
Cervià de Ter	652	569	567	2	551	11	5
Flaçà	696	542	538	4	516	19	3
Fornells de la Selva	1873	1484	1474	10	1422	41	11
Girona	64395	30686	30499	187	28965	1106	428
Juià	225	361	360	1	334	19	7
Llagostera	5543	3064	3052	12	2937	96	19
Llambilles	545	667	662	5	646	11	5
Madremanya	196	150	147	3	144	1	2
Quart	2550	1397	1392	5	1343	32	17
Salt	14515	5879	5853	26	5490	327	36
Sant Andreu Salou	125	422	420	2	409	8	3
Sant Gregori	2626	2105	2099	6	2032	43	24
Sant Joan de Mollet	380	291	290	1	278	10	2
Sant Jordi Desvalls	522	485	484	1	472	6	6
Sant Julià de Ramis - Medinyà	2475	559	554	5	526	22	6
Sant Martí de Llémena	454	511	505	6	482	11	12
Sant Martí Vell	180	208	205	3	199	3	3
Sarrià de Ter	3788	2677	2656	21	2494	130	32
Vilablareix	2087	1651	1633	18	1577	52	4
Viladasens	165	157	156	1	147	4	5
Alella	7084	4178	4152	26	3818	240	94
Arenys de Mar	11470	5707	5656	51	5381	210	65
Arenys de Munt	6483	4136	4116	20	3930	147	39
Argentona	9180	5174	5130	44	4811	241	78
Cabrera de Mar	3480	2628	2615	13	2411	154	50
Cabrils	5122	3005	2996	9	2828	111	57
Caldes d'Estrac	1981	1155	1130	25	1056	51	23
Calella	12547	5975	5963	12	5632	257	74
Canet de Mar	10709	5531	5492	39	5210	185	97
Dosrius	3883	1639	1639	0	1528	111	0
El Masnou	17547	9837	9772	65	8891	642	239
Malgrat de Mar	13315	5709	5657	52	5209	330	118
Mataró	86351	31382	31158	224	28266	2357	535
Montgat	8748	4591	4559	32	4041	433	85
Òrrius	538	474	472	2	464	5	3
Palafolls	6730	2751	2720	31	2461	207	52
Pineda de Mar	18641	6453	6433	20	6021	339	73
Premià de Dalt	7635	4186	4167	19	3756	330	81
Premià de Mar	20326	9135	9075	60	8229	646	200
Sant Andreu de Llavaneres	7648	4283	4241	42	3928	229	84
Sant Cebrià de Vallalta	2390	-	-	-	-	-	-
Sant Iscle de Vallalta	944	1246	1242	4	1194	30	18
Sant Pol de Mar	3686	2505	2491	14	2385	78	28
Sant Vicenç de Montalt	4325	2594	2581	13	2388	144	49
Santa Susanna	2327	1005	997	8	934	54	9
Teià	4802	3040	3018	22	2837	144	37
Tiana	6578	3374	3363	11	3151	159	53
Tordera	12097	4779	4746	33	4409	295	42
Vilassar de Dalt	6873	4371	4346	25	4046	230	70
Vilassar de Mar	15422	8864	8784	80	8032	557	195
Calders	763	856	847	9	822	14	11
Castellcir	519	548	545	3	528	13	4
Castellterçol	1847	558	545	13	512	24	9
Collsuspina	266	333	333	0	320	9	4
Granera	73	-	-	-	-	-	-
L'Estany	343	1053	1051	2	1014	26	11
Moià	4248	2064	2055	9	1961	74	20
Monistrol de Calders	563	570	566	4	538	25	3
Sant Quirze Safaja	453	667	666	1	637	14	15
Santa Maria d'Oló	830	679	679	0	662	11	6
Alcanar	6281	4447	4430	17	4194	169	67
Amposta	14251	10334	10291	43	9672	510	109
Freginals	281	239	238	1	210	22	6
Godall	520	244	242	2	202	29	11
La Galera	557	281	277	4	255	18	4
La Sénia	3963	1637	1621	16	1422	166	33
Mas de Barberans	463	205	205	0	176	17	12
Masdenverge	846	433	432	1	404	26	2
Sant Carles de la Ràpita	10351	329	327	2	304	18	5
Sant Jaume d'Enveja	2743	1432	1424	8	1334	61	29
Santa Bàrbara	2672	1331	1323	8	1204	111	8
Ulldecona	3946	1919	1907	12	1772	107	28
Àger	482	313	312	1	296	9	7
Albesa	1124	838	837	1	788	32	17
Algerri	357	284	270	14	244	14	12
Alòs de Balaguer	104	140	140	0	138	2	0
Artesa de Segre	2326	1567	1561	6	1499	40	22
Balaguer	10546	3434	3414	20	3253	126	35
Bellcaire d'Urgell	1014	743	741	2	720	16	5
Bellmunt d'Urgell	151	126	125	1	119	3	3
Cabanabona	72	290	290	0	275	9	6
Camarasa	750	458	458	0	441	10	7
Castelló de Farfanya	451	364	361	3	340	14	7
Cubells	299	211	207	4	189	8	10
Foradada	137	112	109	3	106	3	0
Ivars de Noguera	273	203	202	1	184	13	5
La Baronia de Rialb	208	158	157	1	142	11	4
La Sentiu de Sió	398	283	282	1	267	10	5
Les Avellanes i Santa Linya	375	310	310	0	287	15	8
Menàrguens	623	459	447	12	410	30	7
Montgai	569	373	370	3	339	20	11
Oliola	181	190	186	4	181	2	3
Os de Balaguer	783	1463	1457	6	1382	59	16
Penelles	376	258	254	4	242	8	4
Ponts	1797	721	717	4	701	12	4
Preixens	368	251	251	0	235	14	2
Térmens	1015	683	681	2	657	13	11
Tiurana	66	87	87	0	85	2	0
Torrelameu	486	430	430	0	416	7	7
Vallfogona de Balaguer	1383	1370	1353	17	1287	49	17
Vilanova de l'Aguda	182	149	146	3	136	9	1
Vilanova de Meià	345	298	298	0	292	0	6
Alpens	223	292	292	0	279	10	3
Balenyà	2762	1765	1763	2	1625	108	30
Calldetenes	1864	1595	1595	0	1552	30	13
Centelles	5739	3374	3363	11	3224	114	25
El Brull	188	335	335	0	328	3	4
Espinelves	162	536	535	1	527	4	4
Folgueroles	1675	1487	1487	0	1451	19	17
Gurb	2001	1562	1560	2	1516	28	16
Les Masies de Roda	578	449	449	0	436	12	1
Les Masies de Voltregà	2450	1756	1747	9	1679	47	21
L'Esquirol	1739	1625	1620	5	1583	15	22
Lluçà	216	189	189	0	186	0	3
Malla	218	466	466	0	450	6	10
Manlleu	12911	7169	7137	32	6739	296	102
Montesquiu	704	622	617	5	599	14	4
Muntanyola	462	400	394	6	380	9	5
Olost	993	807	804	3	780	14	10
Orís	255	203	203	0	196	5	2
Oristà	466	456	449	7	438	5	6
Perafita	327	264	264	0	260	4	0
Prats de Lluçanès	2103	1444	1435	9	1390	34	11
Roda de Ter	4551	2954	2949	5	2823	91	35
Rupit i Pruit	227	393	393	0	373	12	8
Sant Agustí de Lluçanès	82	202	202	0	185	10	7
Sant Bartomeu del Grau	663	477	477	0	451	19	7
Sant Boi de Lluçanès	442	396	396	0	379	7	10
